A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4,E1,E2,E3,E4,F1,F2,F3,F4,G1,G2,G3,G4,G5,G6,G7,G8,H1,H3,H4,H5,H6,H7
1,1,1,1,2,3,1,1,3,3,5.6,54,2,3,1,1,3,1,2,0,2,2,2,2,2,3,2,0,0,0,1,2,3,2,2,2,2,2,3,2
2,1,1,2,2,1,2,3,4,2,5.6,69,1,0,1,1,3,2,2,0,1,0,3,1,0,2,1,1,0,0,0,0,1,0,1,0,0,0,0,1
2,2,1,2,2,3,1,2,4,3,5.1,71,4,2,3,4,3,2,2,2,0,0,2,2,3,3,2,3,2,1,1,2,1,4,2,2,0,0,2,3
2,1,1,1,2,3,2,1,2,4,5.1,80,2,2,2,2,1,1,2,2,1,1,3,3,3,4,3,0,0,0,0,0,2,2,2,0,0,0,0,2
2,2,1,2,2,3,1,1,3,2,5.2,41,3,2,3,3,1,1,3,1,1,0,3,3,3,4,2,2,1,0,1,2,2,4,2,1,1,2,1,2
1,1,1,2,2,3,1,1,3,3,6.2,67,2,1,3,2,1,1,2,2,2,0,2,2,2,4,1,1,1,0,0,1,2,2,2,2,2,2,2,2
2,2,1,2,2,3,1,2,2,2,5.3,40,2,3,3,2,1,0,2,0,2,0,2,1,1,3,3,0,0,0,0,2,2,0,1,1,0,2,2,2
2,1,1,1,2,1,1,2,3,3,5.1,80,2,1,3,2,3,1,2,2,3,0,2,2,1,3,1,1,0,1,0,1,2,2,2,2,1,1,1,1
1,2,1,2,1,3,1,1,4,3,5.5,50,2,1,3,1,1,2,1,0,0,0,0,0,0,1,3,0,0,0,0,2,2,2,3,3,2,2,2,3
2,2,1,1,2,4,2,1,3,4,5,58,1,2,2,1,1,1,2,1,2,0,2,2,1,1,1,1,0,1,2,2,2,0,2,1,2,3,1,2
1,2,1,2,2,3,1,3,3,2,5.4,65,1,1,3,1,1,1,1,0,1,0,1,2,1,2,2,2,0,0,0,1,2,0,1,1,0,1,0,0
1,1,1,2,1,3,1,3,4,4,5.1,92,3,0,3,2,3,0,2,0,3,0,2,1,2,3,0,1,0,0,0,0,1,0,1,1,0,1,0,2
1,1,1,2,1,3,1,1,3,2,5.7,58,1,1,1,1,1,2,2,0,2,0,1,1,1,2,2,0,0,0,0,2,2,2,2,2,2,2,2,2
2,1,1,2,2,3,1,3,4,1,5.7,67,1,0,1,2,3,1,2,2,2,2,2,2,2,2,3,3,0,0,0,0,2,0,0,0,0,0,0,0
2,1,0,2,2,3,2,1,4,1,5.6,65,4,0,2,2,1,1,2,0,3,1,3,3,3,4,2,3,2,1,0,2,2,1,2,0,2,2,3,1
1,2,1,2,2,3,1,1,4,4,5.2,60,4,3,3,4,3,1,2,0,1,0,3,2,0,3,1,1,0,0,1,0,2,1,2,2,2,2,2,2
2,2,1,2,2,2,1,1,4,3,5.2,62,2,0,3,2,3,1,2,1,2,0,2,1,0,1,0,0,1,0,2,2,2,1,0,0,0,2,0,2
1,1,1,2,2,3,1,1,4,4,5.9,71,1,0,3,1,1,2,2,0,2,0,0,0,0,2,1,0,0,0,2,0,3,1,1,0,0,1,0,0
1,1,1,2,1,3,2,1,3,3,5.8,60,3,2,3,4,3,2,2,2,2,2,3,3,2,0,1,1,1,0,1,0,2,3,2,3,2,2,3,3
2,1,1,2,2,3,2,1,3,2,5.4,80,1,1,3,1,4,1,1,0,1,0,2,2,2,3,1,0,0,0,2,0,2,0,1,1,0,0,0,0
1,2,1,2,1,3,1,3,3,2,5.1,62,3,0,2,4,4,1,1,0,1,2,1,1,1,2,1,0,1,0,0,1,1,2,1,0,0,1,0,1
1,2,1,1,2,3,1,3,4,3,5.3,53,4,1,3,4,4,1,3,2,1,0,3,3,2,3,1,0,0,0,0,1,2,2,0,2,1,1,0,2
2,1,1,1,1,2,2,2,4,4,5.6,70,2,2,2,1,4,0,3,2,2,1,2,2,1,3,1,0,0,0,0,1,3,2,0,1,0,0,1,0
1,1,1,2,2,3,1,3,4,4,5.8,55,3,2,2,3,1,2,2,2,3,2,2,2,2,3,1,0,0,0,2,2,1,3,1,2,1,2,2,2
1,1,1,2,2,3,1,2,3,4,5.5,52,2,1,2,2,1,1,1,1,2,0,2,2,2,3,2,2,1,1,0,2,3,2,2,2,1,2,2,2
2,1,1,2,1,2,2,1,3,3,5.4,55,4,2,2,4,1,0,1,0,2,0,2,2,2,1,3,0,0,2,2,0,3,4,0,0,0,1,0,1
1,1,1,2,1,3,1,2,4,1,5.3,48,2,1,1,3,3,1,1,0,0,0,3,3,2,4,2,1,1,0,1,0,2,2,2,1,2,2,2,2
1,1,1,2,1,3,2,2,3,4,5.5,47,4,2,2,4,1,2,1,2,1,0,2,2,2,2,2,3,0,0,0,1,3,4,3,3,3,3,3,3
2,1,1,2,1,1,1,2,4,4,5.4,52,1,0,2,1,3,0,2,0,2,0,1,2,2,3,2,1,1,0,0,1,1,1,1,2,1,0,1,1
1,1,1,1,1,2,4,3,1,4,5.7,64,2,3,3,1,4,2,3,2,1,1,3,3,3,1,3,2,2,1,1,3,2,2,3,3,3,3,3,3
1,1,1,2,1,1,2,3,4,4,5.8,61,2,0,2,1,1,1,3,0,3,0,0,0,0,2,1,0,0,0,0,0,2,0,1,0,0,1,0,0
2,1,1,1,1,2,2,3,4,4,5.5,57,2,1,3,1,4,1,2,2,3,0,2,1,2,3,1,0,0,0,0,0,2,0,2,0,0,0,0,2
2,1,1,2,1,3,2,2,4,4,5.6,50,4,1,2,4,3,2,2,0,3,1,1,1,1,3,2,0,0,0,0,0,3,1,1,1,0,2,1,1
1,1,1,2,1,3,3,2,4,2,5.6,57,1,0,2,1,3,0,2,0,1,1,3,1,2,3,0,0,0,0,2,1,2,1,0,1,1,1,2,3
2,1,1,2,1,3,2,3,2,2,5.9,70,2,2,2,2,3,0,2,1,1,1,2,2,2,3,1,1,0,0,2,0,2,1,1,0,0,0,1,0
1,2,1,2,2,3,1,2,4,2,5.3,55,4,1,3,4,4,2,2,0,3,0,0,0,0,1,1,0,0,1,0,1,2,2,0,0,0,0,1,1
2,1,1,1,2,1,1,2,3,3,5.1,90,2,2,3,3,3,1,1,1,2,0,2,1,1,2,1,1,0,0,0,0,2,3,2,1,0,1,0,2
1,2,1,2,2,3,1,1,3,1,5.2,53,2,1,3,3,3,0,2,2,0,0,3,3,3,3,3,1,1,0,1,1,2,2,1,0,1,0,2,1
1,2,1,2,1,3,1,3,4,4,5.3,50,3,2,3,4,1,1,2,0,1,0,2,1,1,3,2,1,0,0,0,2,3,2,1,1,1,1,0,2
2,1,1,2,2,3,1,1,3,2,5.7,63,3,1,3,3,3,1,1,2,2,1,2,2,3,4,2,0,0,0,0,2,1,3,2,3,1,0,2,0
1,2,1,2,2,3,1,3,3,2,5.2,70,2,2,3,4,1,2,1,1,2,0,2,2,2,3,1,0,0,0,0,2,1,3,2,3,2,2,2,2
1,2,1,2,2,1,2,1,4,3,5.5,53,1,3,2,1,1,2,2,2,1,0,2,1,2,2,1,0,0,1,2,2,1,0,0,2,0,1,0,2
1,1,2,2,2,3,1,2,3,3,5.7,53,4,2,2,4,3,1,2,2,1,0,2,2,2,3,1,0,0,0,2,1,3,2,2,2,1,2,1,2
1,1,1,2,2,3,1,2,4,4,5.9,88,3,1,3,3,3,1,2,2,2,0,2,2,2,3,0,1,0,0,0,0,3,1,2,1,1,0,1,2
1,2,1,2,2,3,1,3,4,2,5.4,56,2,2,2,4,1,1,2,0,2,0,2,1,2,4,1,0,0,1,2,0,1,1,0,1,0,1,2,3
1,2,1,1,2,3,2,3,4,4,5.2,48,3,2,2,1,1,1,3,2,1,0,2,1,2,3,1,0,0,0,0,1,2,0,2,2,1,2,1,1
2,2,1,1,2,3,2,3,3,4,5.2,68,1,2,3,1,2,2,2,2,2,0,3,3,1,3,2,0,1,0,0,2,2,2,2,2,1,3,2,2
2,1,1,2,2,1,1,1,4,4,5.5,60,2,0,3,4,3,1,2,0,2,2,2,2,3,3,3,1,2,1,1,0,3,3,1,2,1,2,2,3
2,1,1,2,1,3,2,1,4,2,6.2,80,2,2,2,3,1,1,2,2,2,1,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2
2,1,1,2,2,3,1,1,4,3,5.7,57,4,2,3,3,1,2,2,1,2,0,3,3,2,4,2,2,1,1,1,2,3,3,2,2,2,3,3,3
2,1,1,2,2,3,1,1,4,4,5.9,62,4,2,3,4,3,1,1,0,2,1,2,3,3,4,1,0,0,0,2,1,1,1,1,2,2,2,3,3
2,1,1,2,2,3,2,3,4,2,5.1,87,2,1,3,3,3,0,2,0,2,0,2,2,1,2,0,0,0,0,0,0,2,1,2,0,0,1,0,2
1,2,1,2,2,3,2,1,3,1,5.3,57,4,2,3,3,1,2,2,0,1,0,3,2,3,4,2,0,0,1,2,0,2,3,2,3,2,0,2,3
1,2,1,2,2,3,1,3,4,4,5.5,65,3,1,3,3,4,2,2,0,1,0,3,1,2,3,2,0,0,1,0,2,2,3,2,3,2,3,3,3
1,1,1,2,2,3,1,1,4,2,5.8,75,3,2,2,3,1,0,2,1,2,0,2,2,2,4,1,1,1,1,0,1,3,2,2,2,2,2,2,2
2,2,1,1,2,3,3,2,4,4,5.4,70,1,1,3,1,1,1,2,2,0,0,1,1,1,3,1,0,0,0,2,0,2,0,0,0,1,0,0,1
1,2,1,1,2,3,2,3,4,4,5.4,44,4,2,2,3,3,2,1,0,2,0,1,1,1,2,1,0,0,0,0,0,2,0,2,0,0,1,0,2
2,2,1,2,2,3,1,2,3,3,5,50,4,2,1,4,4,0,2,2,1,0,2,2,2,3,1,1,1,1,1,2,3,2,0,2,0,0,2,2
1,1,1,2,2,3,2,1,3,2,6.2,84,4,3,3,4,4,2,2,2,1,0,3,3,2,3,1,1,1,0,1,0,1,3,2,2,2,2,2,3
1,1,1,2,2,3,1,3,2,1,5.8,75,4,3,2,4,3,1,2,1,0,2,3,3,3,4,2,0,1,2,2,2,2,3,3,3,2,3,3,3
1,1,1,2,2,3,1,1,3,3,5.8,63,1,0,1,2,3,1,1,0,2,0,1,1,1,3,1,0,0,0,0,1,2,1,2,2,0,1,3,2
2,1,1,2,2,3,2,1,2,2,5.7,77,1,1,2,1,4,1,1,0,1,0,2,2,2,3,1,1,0,0,0,0,2,1,1,1,0,1,1,1
1,2,1,2,2,3,1,1,2,3,5.4,45,3,2,1,3,1,2,2,0,1,0,1,1,1,2,1,0,0,0,0,0,1,1,1,0,1,0,0,2
2,1,1,2,2,3,1,3,4,3,5.1,112,3,1,3,3,1,0,2,0,2,1,1,1,2,3,1,0,0,0,0,1,2,0,1,0,0,1,0,3
1,2,1,2,2,3,4,3,4,2,5.4,55,3,3,3,4,1,1,2,2,2,0,3,2,3,0,3,3,1,0,2,2,2,3,1,2,1,3,2,3
1,2,1,2,1,3,1,2,4,4,5,46,2,1,3,3,3,1,2,0,1,0,2,1,1,3,1,1,0,2,2,0,2,1,2,2,1,1,2,3
1,2,1,1,2,3,1,3,4,2,4.11,53,2,3,3,3,3,2,2,2,2,0,2,1,0,3,1,0,0,1,2,1,3,1,2,2,1,1,1,3
1,2,1,2,1,3,1,3,4,2,5.3,47,1,0,1,1,1,0,2,0,2,0,1,1,1,2,1,0,0,0,0,0,2,0,1,0,0,1,0,1
1,2,1,1,2,3,2,3,4,4,5.2,47,3,3,3,3,1,0,3,2,3,0,1,1,1,2,1,0,0,0,0,0,2,1,1,0,1,2,2,2
1,2,1,1,2,4,1,3,4,4,5.3,63,1,0,3,2,1,0,2,0,3,0,1,2,1,3,1,0,0,0,0,0,2,1,1,0,0,0,1,2
1,2,1,1,1,3,1,3,4,3,5.2,60,3,1,2,4,1,1,3,0,2,0,2,1,1,3,1,0,0,0,0,2,2,1,0,2,0,1,1,2
2,1,3,2,2,3,2,3,4,4,5.1,60,1,2,3,3,3,0,2,2,2,2,3,2,2,3,1,2,1,1,0,2,2,3,2,2,0,1,2,2
1,2,1,1,2,3,1,2,3,2,5.1,67,3,2,2,3,1,0,2,0,2,0,3,2,2,0,2,1,0,0,2,0,2,0,1,2,0,0,2,1
1,2,1,2,2,3,1,3,4,4,5.2,50,4,2,2,4,2,1,2,2,2,0,3,3,2,4,2,1,0,0,0,0,3,3,2,2,0,2,1,2
1,2,1,1,2,3,1,3,4,2,5.3,56,1,1,3,4,1,1,2,0,3,0,1,1,1,2,0,0,0,0,0,0,3,0,1,0,0,1,2,2
1,2,1,2,2,3,1,2,4,2,5.3,58,2,2,3,4,4,0,2,0,1,0,3,2,3,4,1,0,0,0,2,2,1,1,2,2,1,3,2,2
1,2,1,1,2,3,2,3,3,4,5.8,45,3,3,3,3,4,1,2,1,0,0,2,2,2,3,1,0,0,0,0,2,2,3,2,1,1,2,2,2
3,1,1,1,1,1,1,3,4,3,5.4,60,4,2,2,3,4,2,2,1,1,1,2,1,2,1,2,1,1,1,2,0,3,1,2,2,2,3,2,2
1,1,1,2,1,3,2,1,4,2,5.7,77,4,3,3,4,1,1,2,0,3,0,3,3,2,3,1,1,1,2,1,0,2,4,2,2,1,2,2,2
1,2,1,2,2,3,1,1,4,2,5.4,50,3,2,2,2,2,1,1,2,2,0,3,3,3,4,1,1,0,1,1,2,2,2,2,2,2,2,3,2
1,2,1,2,2,3,4,2,4,2,5.4,75,1,2,2,1,1,1,2,0,2,0,3,2,2,3,2,0,0,0,2,0,2,0,1,2,2,0,2,0
1,1,1,1,1,1,2,1,3,4,6.1,66,1,0,3,1,3,1,2,0,1,0,2,2,2,4,2,2,2,0,1,3,2,0,2,3,1,2,3,0
1,1,1,2,2,3,1,3,4,2,5.5,55,1,0,1,4,3,0,2,1,0,0,2,2,2,3,1,1,1,0,1,0,1,2,1,3,3,3,1,3
1,2,1,2,2,3,1,3,4,4,5.4,70,2,2,2,2,1,1,2,2,1,0,1,1,1,2,3,1,1,0,0,3,2,0,1,0,1,1,2,2
2,1,1,2,2,3,1,3,4,4,5.1,76,1,1,3,1,1,0,2,1,3,1,3,3,3,4,1,0,0,0,1,3,3,0,3,3,3,3,3,1
1,2,1,2,2,3,2,1,4,2,5.1,43,1,2,1,1,2,0,2,0,2,0,3,1,3,3,1,0,1,1,2,0,3,3,2,1,1,0,2,3
2,2,1,2,2,3,2,3,3,1,5.2,62,4,1,3,4,1,2,1,1,1,0,3,3,3,4,3,3,2,2,1,1,1,4,1,3,3,3,3,3
1,2,1,1,2,3,2,3,3,2,5.2,53,1,1,3,1,1,0,2,2,0,0,0,0,1,2,1,0,0,0,0,0,2,1,1,0,0,1,0,2
1,2,1,2,2,3,1,2,4,2,5,59,4,0,2,1,3,0,2,2,2,0,2,1,1,3,1,0,0,0,0,0,2,1,1,0,0,1,0,0
2,1,1,2,2,3,1,2,4,2,5.5,60,3,2,3,3,3,1,2,1,2,0,3,3,2,4,2,1,1,2,2,0,2,3,2,2,0,3,1,3
2,1,1,1,2,1,3,2,3,2,5.7,70,2,2,2,1,3,2,2,2,1,0,2,1,2,4,1,1,1,1,2,0,2,2,2,2,0,0,0,2
2,1,1,2,2,3,1,2,4,2,6,64,1,2,3,3,1,1,2,0,2,1,2,1,1,3,2,0,1,0,0,1,2,0,1,2,1,0,0,2
1,1,1,2,2,3,1,1,4,4,5.6,67,1,0,1,2,3,0,1,0,1,0,1,1,2,2,1,1,0,0,1,0,3,2,2,2,2,0,0,2
2,2,1,2,2,3,1,1,3,2,5.4,69,2,2,3,3,3,1,1,2,1,0,2,1,1,3,2,1,2,1,2,0,2,3,2,1,1,2,2,3
1,2,2,2,2,3,1,1,3,2,5,54,3,2,3,4,3,2,1,0,1,0,3,3,2,4,3,3,1,2,2,2,2,4,2,3,2,3,3,3
1,1,1,2,2,3,3,1,4,4,5.7,94,3,2,3,3,3,1,2,2,2,2,3,3,1,1,1,0,0,0,0,2,1,0,1,0,0,2,2,2
2,1,1,2,2,3,1,1,2,3,5.5,57,3,3,2,3,3,2,1,0,1,1,3,2,3,3,1,0,1,2,2,1,2,2,1,2,1,0,3,2
2,1,1,2,2,3,1,3,4,2,6,80,1,0,2,1,3,0,1,0,0,0,1,0,0,4,3,1,1,1,0,3,1,2,2,0,3,3,3,3
1,1,1,2,1,3,2,1,3,3,5.1,68,4,2,3,4,1,2,2,0,3,0,3,3,3,4,3,2,1,1,2,1,2,3,0,2,1,2,1,3
2,2,1,1,2,3,2,3,4,4,5.2,65,2,2,3,3,3,1,2,0,1,0,1,1,1,1,1,1,0,0,0,0,2,0,1,0,0,0,0,0
2,1,2,2,2,3,1,3,4,4,5.8,70,2,1,3,4,3,1,2,0,2,1,2,0,0,4,1,1,1,0,0,2,3,2,2,2,0,1,2,2
1,1,1,2,2,3,1,1,3,2,5.9,73,3,0,3,2,3,1,2,0,3,0,1,2,1,3,1,0,0,0,0,0,2,2,0,2,0,0,1,3
2,1,1,2,1,3,1,2,4,4,5.9,68,2,2,1,3,3,1,2,2,2,1,1,1,1,3,1,0,1,0,2,0,2,1,2,2,1,2,2,2
2,1,1,1,2,3,1,2,4,4,5.6,53,1,0,3,1,3,1,2,0,2,1,2,1,1,1,2,1,1,1,2,2,3,4,2,2,1,2,2,3
2,1,1,2,2,3,2,3,4,3,5.9,68,4,3,3,4,3,1,2,1,2,0,3,3,3,4,1,1,1,0,1,1,1,4,1,1,1,3,3,2
1,1,1,2,2,3,2,2,4,3,5.5,92,4,1,3,4,3,1,1,2,1,0,2,2,2,1,2,0,1,0,0,1,3,3,1,2,0,2,2,2
1,1,1,2,2,3,1,3,4,4,6.2,74,1,0,2,1,3,1,2,0,2,1,1,1,1,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0
1,1,1,2,2,3,2,1,2,2,5.1,58,3,2,3,3,1,1,1,2,2,1,3,3,3,4,1,0,1,0,2,1,2,3,0,2,2,0,3,2
1,2,1,2,1,3,1,1,2,1,5,39,3,3,1,4,3,2,2,2,0,0,2,2,3,4,3,0,1,0,2,2,2,1,2,1,1,2,2,1
1,2,1,2,2,3,1,1,4,2,5.3,73,4,2,2,4,4,2,1,2,1,0,3,3,2,3,3,0,0,0,0,1,2,0,2,0,1,0,2,2
2,1,1,2,2,3,1,2,3,3,5.9,75,3,1,3,4,3,1,2,1,1,1,3,3,3,4,2,1,1,0,0,0,2,3,2,3,1,2,3,3
1,1,1,2,2,3,1,3,3,3,5.8,58,4,2,3,4,3,1,2,0,1,0,2,1,0,2,1,0,0,0,0,0,1,2,0,0,0,1,0,3
1,1,1,2,2,1,3,1,4,2,5.6,57,2,0,3,2,4,0,2,0,1,1,3,1,2,2,1,0,0,0,0,1,3,1,1,2,1,1,1,2
2,1,1,2,2,3,1,1,3,2,5.7,68,2,0,3,4,3,0,3,0,1,1,3,3,3,4,2,1,1,0,0,0,2,2,0,2,0,1,0,0
2,1,1,2,2,3,1,1,3,4,5.8,75,2,3,3,4,3,1,2,0,1,0,2,2,2,3,2,2,1,0,0,2,2,3,2,2,2,3,2,2
1,2,1,2,2,3,1,2,3,1,5.2,65,4,2,3,4,4,0,1,1,1,0,3,2,1,4,1,0,1,0,1,1,2,2,2,2,3,0,2,2
1,2,1,2,2,3,1,3,4,2,5.6,62.5,2,0,3,1,1,1,2,2,3,0,1,1,0,2,0,0,0,0,0,0,2,0,1,0,0,1,0,0
1,1,1,2,2,3,1,1,4,3,5.7,69,2,2,1,2,3,1,2,0,3,0,3,3,3,4,1,0,0,0,0,1,2,1,1,2,2,3,3,2
1,1,1,2,2,3,1,2,3,2,5.8,95,2,2,2,3,1,2,2,0,1,0,2,1,1,3,1,1,0,0,2,0,2,2,0,1,2,0,2,2
1,1,1,2,2,3,1,1,3,4,5.5,49,4,2,3,4,3,1,2,0,1,0,3,3,2,4,2,1,1,0,2,2,1,3,2,2,2,1,2,3
1,2,1,2,2,3,2,1,4,3,4.11,47,4,3,3,4,3,2,2,2,0,0,3,3,2,4,3,0,1,1,0,2,2,2,2,2,0,0,2,2
1,1,1,2,2,3,2,2,3,2,5.7,58,3,1,3,2,1,1,2,2,2,0,3,3,3,3,2,2,2,1,1,0,1,3,2,2,2,2,2,2
1,2,1,2,2,3,3,3,3,2,5,70,3,2,3,2,1,1,2,0,0,0,2,2,2,3,2,2,0,0,0,0,2,2,0,0,0,1,1,2
1,1,2,2,1,3,1,2,3,2,5.4,52,1,0,1,1,1,0,2,0,1,0,0,0,0,2,1,1,0,0,0,1,2,1,1,0,0,0,0,1
